audit_id,timestamp,audit_action,entity_type,entity_id,performed_by,description,previous_value,new_value,reason
AUDIT_7A74088E7F,2022-06-08 00:00:00,rule_updated,rule,amount_exceeds_10000,Lisa Anderson,Rule amount_exceeds_10000 threshold updated,0.69,0.55,Performance optimization based on false positive rate
AUDIT_169E74B678,2022-09-12 00:00:00,rule_updated,rule,amount_exceeds_10000,Lisa Anderson,Rule amount_exceeds_10000 threshold updated,0.63,0.55,Performance optimization based on false positive rate
AUDIT_C41C87FAA0,2022-03-22 00:00:00,rule_updated,rule,velocity_5_in_24h,William Taylor,Rule velocity_5_in_24h threshold updated,0.73,0.59,Performance optimization based on false positive rate
AUDIT_F0DDAC2383,2022-08-22 00:00:00,rule_updated,rule,velocity_5_in_24h,Sarah Chen,Rule velocity_5_in_24h threshold updated,0.67,0.70,Performance optimization based on false positive rate
AUDIT_DDB7ADB468,2023-02-01 00:00:00,rule_updated,rule,velocity_5_in_24h,David Kim,Rule velocity_5_in_24h threshold updated,0.73,0.62,Performance optimization based on false positive rate
AUDIT_62B77AF439,2023-06-24 00:00:00,rule_updated,rule,velocity_5_in_24h,Lisa Anderson,Rule velocity_5_in_24h threshold updated,0.72,0.75,Performance optimization based on false positive rate
AUDIT_2B1B8B1380,2022-06-30 00:00:00,rule_updated,rule,odd_hours_transaction,William Taylor,Rule odd_hours_transaction threshold updated,0.69,0.62,Performance optimization based on false positive rate
AUDIT_A333724877,2022-12-05 00:00:00,rule_updated,rule,odd_hours_transaction,Sarah Chen,Rule odd_hours_transaction threshold updated,0.66,0.71,Performance optimization based on false positive rate
AUDIT_36DD02E275,2023-02-27 00:00:00,rule_updated,rule,odd_hours_transaction,Robert Johnson,Rule odd_hours_transaction threshold updated,0.57,0.66,Performance optimization based on false positive rate
AUDIT_4B13BF7DED,2023-05-16 00:00:00,rule_updated,rule,odd_hours_transaction,Robert Johnson,Rule odd_hours_transaction threshold updated,0.67,0.66,Performance optimization based on false positive rate
AUDIT_26FECD8E39,2022-03-18 00:00:00,rule_updated,rule,new_counterparty,Michael Rodriguez,Rule new_counterparty threshold updated,0.72,0.56,Performance optimization based on false positive rate
AUDIT_006798D69F,2022-09-03 00:00:00,rule_updated,rule,new_counterparty,Robert Johnson,Rule new_counterparty threshold updated,0.61,0.63,Performance optimization based on false positive rate
AUDIT_D11552CBD3,2022-11-23 00:00:00,rule_updated,rule,new_counterparty,Emily Thompson,Rule new_counterparty threshold updated,0.74,0.78,Performance optimization based on false positive rate
AUDIT_309270F68C,2022-03-12 00:00:00,rule_updated,rule,amount_deviation_3x,Jessica Martinez,Rule amount_deviation_3x threshold updated,0.63,0.64,Performance optimization based on false positive rate
AUDIT_0C54EA6DD8,2022-05-29 00:00:00,rule_updated,rule,amount_deviation_3x,Jessica Martinez,Rule amount_deviation_3x threshold updated,0.63,0.52,Performance optimization based on false positive rate
AUDIT_BBABD7BF5C,2022-08-08 00:00:00,rule_updated,rule,amount_deviation_3x,Maria Garcia,Rule amount_deviation_3x threshold updated,0.67,0.61,Performance optimization based on false positive rate
AUDIT_187BDCAB31,2023-01-04 00:00:00,rule_updated,rule,amount_deviation_3x,Michael Rodriguez,Rule amount_deviation_3x threshold updated,0.67,0.59,Performance optimization based on false positive rate
AUDIT_2B0C20F953,2023-05-01 00:00:00,rule_updated,rule,amount_deviation_3x,Lisa Anderson,Rule amount_deviation_3x threshold updated,0.70,0.71,Performance optimization based on false positive rate
AUDIT_67DDD405A3,2022-03-22 00:00:00,rule_updated,rule,payment_to_high_risk_country,James Wilson,Rule payment_to_high_risk_country threshold updated,0.69,0.76,Performance optimization based on false positive rate
AUDIT_246F738205,2022-08-17 00:00:00,rule_updated,rule,payment_to_high_risk_country,Maria Garcia,Rule payment_to_high_risk_country threshold updated,0.70,0.53,Performance optimization based on false positive rate
