customer_id,full_name,date_of_birth,address,onboarding_date,segment,KYC_status,AML_status,risk_level_initial,current_risk_level,PEP_status,cdd_last_review_date,cdd_review_frequency,edd_required,edd_investigation_reason,source_of_funds_verified,account_balance
CUST_D4FF0B1A,Daniel Brown,1966-04-08,"9963 Main St, Seattle, WA",2022-01-26,Retail,verified,clean,low,low,N,2025-09-13,semi-annually,N,,True,100219.99
CUST_CA502A85,Daniel White,1963-08-19,"5614 Main St, Chicago, IL",2023-07-13,Retail,verified,clean,medium,medium,N,2025-09-13,quarterly,N,,False,190583.72
CUST_7E31BCE7,Jennifer Walker,1965-01-24,"1239 Main St, San Diego, CA",2022-12-19,Retail,verified,clean,low,low,N,2025-06-13,annually,N,,True,386761.1
CUST_7AA6313C,Michael Walker,1955-07-09,"4110 Oak St, San Francisco, CA",2022-08-27,Retail,verified,clean,medium,high,N,2025-06-05,monthly,Y,Large cash deposits,True,190348.27
CUST_CC863572,Dorothy Lee,1963-11-11,"9392 Pine St, San Antonio, TX",2023-12-06,Small Business,verified,clean,medium,medium,N,2025-09-14,quarterly,N,,False,328063.89
CUST_3E6F7D38,Richard Young,1958-05-05,"1589 Main St, Houston, TX",2023-10-21,Retail,verified,prior_flag,low,low,N,2025-10-03,semi-annually,N,,True,77267.82
CUST_BE3A428D,Jessica Lewis,1987-02-13,"5673 Main St, San Jose, CA",2023-11-28,Retail,expired,prior_flag,high,high,N,2025-05-17,monthly,Y,High-risk jurisdiction,True,217947.86
CUST_538B2855,Joseph Smith,1997-03-17,"109 Cedar St, Austin, TX",2022-09-27,Corporate,verified,clean,high,high,N,2025-06-22,monthly,Y,Suspicious activity report filed,False,2468598.25
CUST_209A8AF0,Emily Hall,2002-05-08,"2203 Maple St, Seattle, WA",2023-01-07,Retail,verified,clean,medium,medium,N,2025-06-24,quarterly,N,,True,83398.35
CUST_0F3B10F1,Thomas Walker,1962-09-25,"1149 Pine St, New York, NY",2023-09-14,Small Business,high-risk,clean,low,low,N,2025-10-08,annually,N,,True,294566.05
CUST_C3878356,Lisa Jackson,1953-12-21,"9455 Cedar St, Charlotte, NC",2022-08-14,Retail,verified,clean,low,low,N,2025-09-14,annually,N,,True,122255.62
CUST_523A278F,Patricia Lewis,1955-02-22,"5659 Main St, San Diego, CA",2023-02-21,Retail,verified,clean,low,low,N,2025-10-23,semi-annually,N,,True,96603.45
CUST_DB742E84,Nancy Anderson,1960-05-15,"1628 Oak St, Philadelphia, PA",2022-05-24,Retail,pending,clean,medium,medium,N,2025-06-22,quarterly,N,,True,203800.61
CUST_EAC90908,Patricia Miller,1952-03-13,"3666 Main St, Denver, CO",2023-02-15,Retail,verified,clean,low,low,N,2025-09-29,annually,N,,True,368132.85
CUST_DBD016AD,Sarah Harris,1952-10-16,"3953 Maple St, Houston, TX",2022-11-18,Retail,expired,clean,medium,medium,N,2025-06-08,quarterly,N,,True,470856.47
CUST_96E38B83,Charles Davis,1951-10-03,"5015 Maple St, Austin, TX",2023-08-16,Retail,expired,clean,low,medium,N,2025-09-01,quarterly,N,,True,464580.15
CUST_0317F380,Dorothy Williams,1988-10-04,"9000 Pine St, Boston, MA",2022-01-10,Retail,expired,prior_flag,low,low,N,2025-08-27,annually,N,,True,491942.8
